selection_order,candidate_id,resolved_market_group,symbol,timeframe,htf_timeframe,swing_degree,source_scope,phase257_policy_bucket,phase257_score,selection_reason,prominence_policy_label,scale_fit_label,ewo_policy_label,ema_htf_policy_label,chart_path
1,impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors,AUDJPY.r,H4,,intermediate,h4_d1,high_quality_structure,100.0,best_high_quality,acceptable_for_timeframe,acceptable_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\001_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
2,impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,Forex Majors,EURJPY.r,H4,,intermediate,h4_d1,usable_provisional_structure,100.0,best_usable_provisional,ambiguous_scale,ambiguous_scale,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\002_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
3,impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,Forex Majors,AUDJPY.r,H1,,intermediate,h1_h4,auxiliary_low_prominence_substructure,49.0,auxiliary_low_prominence,better_as_lower_tf_substructure,better_as_lower_tf_substructure,momentum_context_only,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\003_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png
4,impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,Forex Majors,AUDCAD.r,H4,,minor,h4_d1,exclude_from_guided_search,54.0,excluded_near_threshold,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png
5,impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,Forex Majors,AUDCAD.r,H4,,major,h4_d1,usable_provisional_structure,85.0,ewo_support_case,acceptable_for_timeframe,acceptable_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\005_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png
6,abc_exp257_forex_majors_audcadr_h4_minor_abc_005,Forex Majors,AUDCAD.r,H4,,minor,h4_d1,exclude_from_guided_search,0.0,ema_htf_conflict_or_misleading,prominence_not_applicable,not_applicable,ewo_unclear_or_unavailable,ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\006_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png
7,impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,Forex Majors,AUDCAD.r,H4,,minor,h4_d1,exclude_from_guided_search,54.0,low_prominence_case,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\forex_majors\007_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png
8,impulse_exp257_index_aus200_h4_major_impulse_023,Index,AUS200,H4,,major,h4_d1,usable_provisional_structure,75.0,best_usable_provisional,acceptable_for_timeframe,acceptable_for_timeframe,relative_wave_role_support,ema_htf_correction_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\008_impulse_exp257_index_aus200_h4_major_impulse_023.png
9,impulse_aux252b_index_aus200_h1_intermediate_impulse_007,Index,AUS200,H1,,intermediate,h1_h4,auxiliary_low_prominence_substructure,52.0,auxiliary_low_prominence,better_as_lower_tf_substructure,better_as_lower_tf_substructure,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\009_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
10,impulse_exp257_index_aus200_h4_minor_impulse_049,Index,AUS200,H4,,minor,h4_d1,exclude_from_guided_search,44.0,excluded_near_threshold,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_correction_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\010_impulse_exp257_index_aus200_h4_minor_impulse_049.png
11,impulse_exp252_index_aus200_h4_major_impulse_016,Index,AUS200,H4,,major,h4_d1,usable_provisional_structure,75.0,ewo_support_case,acceptable_for_timeframe,acceptable_for_timeframe,relative_wave_role_support,ema_htf_correction_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\011_impulse_exp252_index_aus200_h4_major_impulse_016.png
12,hard_invalid_exp257_index_aus200_h4_minor_impulse_001,Index,AUS200,H4,,minor,h4_d1,exclude_from_guided_search,0.0,ema_htf_conflict_or_misleading,prominence_not_applicable,not_applicable,ewo_unclear_or_unavailable,ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\012_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png
13,impulse_exp252_index_aus200_h4_minor_impulse_028,Index,AUS200,H4,,minor,h4_d1,exclude_from_guided_search,44.0,low_prominence_case,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_correction_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\index\013_impulse_exp252_index_aus200_h4_minor_impulse_028.png
14,impulse_exp252_metals_xagusd_h4_major_impulse_002,Metals,XAGUSD.r,H4,,major,h4_d1,usable_provisional_structure,70.0,best_usable_provisional,ambiguous_scale,ambiguous_scale,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\014_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
15,impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,XAGEUR.r,H4,,intermediate,h4_d1,visual_watchlist_low_prominence,54.0,watchlist_low_prominence,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\015_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
16,impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,Metals,XAGUSD.r,H1,,intermediate,h1_h4,auxiliary_low_prominence_substructure,45.0,auxiliary_low_prominence,better_as_lower_tf_substructure,better_as_lower_tf_substructure,momentum_context_only,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\016_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png
17,impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,XAGEUR.r,H4,,minor,h4_d1,exclude_from_guided_search,50.0,excluded_near_threshold,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\017_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
18,impulse_aux252b_metals_xagusd_h1_major_impulse_025,Metals,XAGUSD.r,H1,,major,h1_h4,auxiliary_substructure,56.0,ewo_support_case,acceptable_for_timeframe,acceptable_for_timeframe,relative_wave_role_support,ema_htf_correction_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\018_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png
19,hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,Metals,XAGEUR.r,H4,,minor,h4_d1,exclude_from_guided_search,0.0,ema_htf_conflict_or_misleading,prominence_not_applicable,not_applicable,ewo_unclear_or_unavailable,ema_htf_misleading_warning,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\019_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png
20,impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,XAGUSD.r,H4,,minor,h4_d1,exclude_from_guided_search,50.0,low_prominence_case,low_prominence_vs_window,too_small_for_timeframe,relative_wave_role_support,ema_htf_context_support,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\charts\by_market_group\metals\020_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
